,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
3816,568103618500530176,neutral,1.0,,,United,,willyvideo,,0,@united #sfo #ClearVision #TV4U @ United Terminal SFO Airport http://t.co/Q9bYn9pCTf,"[37.62006843, -122.38822083]",2015-02-18 09:43:52 -0800,,Pacific Time (US & Canada)
10306,569379979055796224,negative,1.0,Customer Service Issue,0.6465,US Airways,,PhilHagen,,1,"@USAirways yes, i am as well.  **FIVE** HOURS ON HOLD, FOLKS. Can you PLEASE tell me if this is typical?! Trying to be understanding here.",,2015-02-21 22:15:40 -0800,"Lewes, DE, USA",Eastern Time (US & Canada)
292,568840724700995584,negative,1.0,Flight Booking Problems,0.3895,Virgin America,,notthatnathan,,0,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",,2015-02-20 10:32:51 -0800,"Portland, Maine",Eastern Time (US & Canada)
13146,569929944291127296,positive,1.0,,,American,,neiljcohen,,0,@AmericanAir exceptional customer service from AA - my misplaced item was waiting for me at checkin followed by a smooth flight. Thank you!,,2015-02-23 10:41:02 -0800,"the one, the only.... NYC",Quito
4815,569701794714128384,negative,1.0,Customer Service Issue,1.0,Southwest,,zarrylarou,,0,".@SouthwestAir glad you appreciate it, it’ll be the last dollar you ever get from me thanks to your wretched customer service",,2015-02-22 19:34:27 -0800,NY,Eastern Time (US & Canada)
13110,569938319024332801,negative,1.0,Can't Tell,0.6905,American,,weezerandburnie,,0,@AmericanAir You don't care about keeping your customers safe or at least you didn't care about my sister,,2015-02-23 11:14:18 -0800,Belle MO,
13774,569719693780496384,negative,1.0,Bad Flight,0.6952,American,,breakthemark,,0,@AmericanAir Weather was not involved.,,2015-02-22 20:45:34 -0800,"Portland, OR",Pacific Time (US & Canada)
3081,568716618794209280,negative,1.0,Can't Tell,0.6722,United,,pongchmp,,0,@united then send your Jeff Smisek on a trip with JetBlue or SW and make sure he takes notes. I would never choose to fly United again.,,2015-02-20 02:19:42 -0800,,Eastern Time (US & Canada)
2523,569139480101314560,negative,1.0,Can't Tell,0.6464,United,,AviNewYork,,1,@united have you inspected the picture? routine aircraft check while on his cell phone? What will the FAA &amp; NYT say ? http://t.co/bNgpli8JT6,"[18.4729405, -68.39820768]",2015-02-21 06:20:00 -0800,,Eastern Time (US & Canada)
2631,568983569563033600,positive,1.0,,,United,,abhirajan,,0,@united kept me watching the safety video for the first time in forever. Nice job 👍.,,2015-02-20 20:00:28 -0800,The abyss ,Arizona
12037,568265091226800130,negative,0.924,Late Flight,0.4904,American,negative,beaubertke,Late Flight,0,"@AmericanAir Okay, I think 1565 has waited long enough for a gate at DFW...",,2015-02-18 20:25:30 -0800,Texas,Central Time (US & Canada)
10932,568776950665371648,negative,1.0,Flight Attendant Complaints,0.6771,US Airways,,mwasserman818,,0,@USAirways nothing was available. Male flight crew was not nice/dismissive. Big guy was standby and probably didn't even pay for Choice,,2015-02-20 06:19:27 -0800,Flying Giraffe Travel,Pacific Time (US & Canada)
14314,569636064035348480,negative,1.0,Flight Booking Problems,0.6541,American,,jtotheizzoe,,0,"@AmericanAir yes, and rebooked incorrectly.",,2015-02-22 15:13:15 -0800,"Austin, TX",Central Time (US & Canada)
6987,569963064495366145,neutral,1.0,,,Delta,,heyheyman,,0,@JetBlue How do I know if my flight was deemed a dark flight?,,2015-02-23 12:52:38 -0800,"Boston, MA",Eastern Time (US & Canada)
14378,569624713414250496,negative,1.0,Late Flight,0.7122,American,,smiertspionom,,0,@AmericanAir man we have been sitting in #UA4753 on the tarmac for 30 mins...rescue us please!,,2015-02-22 14:28:09 -0800,Teh internets,Central Time (US & Canada)
2804,568893072001646592,neutral,1.0,,,United,,jeeden_1,,0,@united or us air: http://t.co/Eis9hcNPrO,,2015-02-20 14:00:52 -0800,"Purcellville, VA",
2809,568887455044259842,negative,1.0,Cancelled Flight,1.0,United,,nate2482,,1,@United you need to get it together 3 of 4 flights Cancelled Flightled stranded with no car and my baggage is lost!  You NEVER get it right.,,2015-02-20 13:38:33 -0800,"Parkersburg, WV",Eastern Time (US & Canada)
3196,568604039430033408,neutral,0.6831,,,United,,TheLunchBelle,,0,"@united @HiltonWorldwide @Caravannyc @MaysvilleNYC 
Let's go! Join me on my first trip back to NYC…as a tourist: 
http://t.co/egaEjtRGLb","[34.06143413, -118.39787418]",2015-02-19 18:52:21 -0800,LA / NYC,Eastern Time (US & Canada)
12466,570177331358076929,negative,1.0,Customer Service Issue,1.0,American,,SamuelMondo,,0,@AmericanAir what's the point? So I can wait for another 6 weeks. U r one of the only airlines that refuses to handle complaints by phone,,2015-02-24 03:04:03 -0800,Manchester,London
4226,567767009908109312,negative,0.6633,Late Flight,0.6633,United,,jmacie3,,0,@united thanks kp but luckily my transfer has maintenance issues and is still delayed so I didn't miss my transfer...,,2015-02-17 11:26:18 -0800,,
3586,568250452057427970,negative,1.0,Cancelled Flight,1.0,United,,_saranguyen,,0,@united can you please stop Cancelled Flightling your flights? I am trying to get home to take two exams tomorrow. You've Cancelled Flightled 3 flights on me.,,2015-02-18 19:27:20 -0800,"Columbia, MO",Central Time (US & Canada)
13363,569881379825164288,negative,1.0,Customer Service Issue,1.0,American,,1JENSABA,,0,@AmericanAir how can I get travel question answered quickly... Online and calling not helping with this busy day,,2015-02-23 07:28:03 -0800,"Chicago,IL",Central Time (US & Canada)
10797,568868928732028928,neutral,0.662,,0.0,US Airways,,ScottKat22,,0,@USAirways have scheduled flight Sat(2morrow) CHO-CLT CHO needs to be added to weather advisory.  Please evaluate asap.,,2015-02-20 12:24:56 -0800,,Eastern Time (US & Canada)
13031,569956742122983424,negative,1.0,Customer Service Issue,1.0,American,,elwoodblues77,,0,@AmericanAir will do on another airline that's more accommodating of its customers. Unable to simply change passengers with notice is simply,,2015-02-23 12:27:31 -0800,Dallas,
9564,569873968175259650,negative,1.0,Customer Service Issue,0.68,US Airways,,jamescav25,,0,@USAirways already spent 60 mins today handling this for my minor child. Shame on you for treating a 15 year old girl like this.,,2015-02-23 06:58:36 -0800,"Des Moines, IA",
